ward,date_time,rainfall_1h,rainfall_3h,precipitation_prob,humidity,temperature,latitude,longitude
Westlands,2020-01-01 00:00:00,1.13,4.13,0.15,45.02,23.11,-1.2687,36.8105
Westlands,2020-01-02 00:00:00,0.56,2.2,0.11,54.3,18.01,-1.2687,36.8105
Westlands,2020-01-03 00:00:00,0.53,1.62,0.25,49.92,17.44,-1.2687,36.8105
Westlands,2020-01-04 00:00:00,0.17,0.68,0.15,41.47,22.57,-1.2687,36.8105
Westlands,2020-01-05 00:00:00,0.31,1.38,0.06,45.94,17.58,-1.2687,36.8105
Westlands,2020-01-06 00:00:00,0,1,0.06,47.74,16.71,-1.2687,36.8105
Westlands,2020-01-07 00:00:00,0.5,1.69,0.13,51.25,21.9,-1.2687,36.8105
Westlands,2020-01-08 00:00:00,1.22,4.63,0.17,55.08,20.26,-1.2687,36.8105
Westlands,2020-01-09 00:00:00,0.4,2.08,0.13,62.98,18.48,-1.2687,36.8105
Westlands,2020-01-10 00:00:00,1.63,4.89,0.14,65.4,17.81,-1.2687,36.8105
Westlands,2020-01-11 00:00:00,1.67,5.9,0.28,68.71,17.87,-1.2687,36.8105
Westlands,2020-01-12 00:00:00,1.97,6.15,0.02,44.21,17.39,-1.2687,36.8105
Westlands,2020-01-13 00:00:00,0.78,2.63,0.09,57.9,17.12,-1.2687,36.8105
Westlands,2020-01-14 00:00:00,1,3.96,0.19,49.54,23.26,-1.2687,36.8105
Westlands,2020-01-15 00:00:00,1.22,3.83,0.01,59.24,19.24,-1.2687,36.8105
Westlands,2020-01-16 00:00:00,1.23,4.03,0.17,62.62,21.71,-1.2687,36.8105
Westlands,2020-01-17 00:00:00,0.37,1.46,0.06,69.1,16.05,-1.2687,36.8105
Westlands,2020-01-18 00:00:00,0.29,1.22,0.16,64.99,22.15,-1.2687,36.8105
Westlands,2020-01-19 00:00:00,1.41,4.59,0.07,68.31,17.48,-1.2687,36.8105
Westlands,2020-01-20 00:00:00,1.14,4.31,0.06,64.66,19.29,-1.2687,36.8105
Westlands,2020-01-21 00:00:00,1.34,4.05,0.02,58.6,17.55,-1.2687,36.8105
Westlands,2020-01-22 00:00:00,0,0.12,0.06,61.87,17,-1.2687,36.8105
Westlands,2020-01-23 00:00:00,0.15,0.73,0.16,45.29,22.29,-1.2687,36.8105
Westlands,2020-01-24 00:00:00,1.29,4.47,0.11,49.62,16.18,-1.2687,36.8105
Westlands,2020-01-25 00:00:00,1.96,6.68,0.04,43.77,23.68,-1.2687,36.8105
Westlands,2020-01-26 00:00:00,1.11,4.18,0.05,69.98,22.51,-1.2687,36.8105
Westlands,2020-01-27 00:00:00,1.1,3.83,0.08,40.7,18.8,-1.2687,36.8105
Westlands,2020-01-28 00:00:00,1.3,3.99,0.03,46.49,21.65,-1.2687,36.8105
Westlands,2020-01-29 00:00:00,0.8,2.49,0.03,66.83,22.42,-1.2687,36.8105
Westlands,2020-01-30 00:00:00,0.88,3.02,0.14,65.94,24.87,-1.2687,36.8105
Westlands,2020-01-31 00:00:00,0.81,3.37,0.25,65.72,21.1,-1.2687,36.8105
Westlands,2020-02-01 00:00:00,0.29,0.94,0.19,43.77,21.88,-1.2687,36.8105
Westlands,2020-02-02 00:00:00,0.58,2.47,0.03,42.28,16.59,-1.2687,36.8105
Westlands,2020-02-03 00:00:00,0.47,1.95,0.15,66.1,18.82,-1.2687,36.8105
Westlands,2020-02-04 00:00:00,1.02,3.35,0.2,57.57,21.91,-1.2687,36.8105
Westlands,2020-02-05 00:00:00,0.25,1.21,0.06,49.49,16.94,-1.2687,36.8105
Westlands,2020-02-06 00:00:00,0.27,1.22,0.12,67.59,21.7,-1.2687,36.8105
Westlands,2020-02-07 00:00:00,1.22,4,0.06,63.5,23.89,-1.2687,36.8105
