ward,date_time,rainfall_1h,rainfall_3h,precipitation_prob,humidity,temperature,latitude,longitude,source_url
Westlands,2020-01-01 00:00:00,1.6,5.74,0.22,44.79,16.96,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-01-02 00:00:00,1.04,4.01,0.12,44.79,17.38,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-01-03 00:00:00,0.72,2.5,0.07,45.68,24.04,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-01-04 00:00:00,0.6,2.11,0.02,64.32,23.07,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-01-05 00:00:00,0.41,2.22,0.03,58.72,24.19,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-01-06 00:00:00,0.79,3.02,0.29,55.84,17.01,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-01-07 00:00:00,1.79,6.06,0.08,42.9,18.46,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-01-08 00:00:00,1.85,6.54,0.19,66.76,15.27,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-01-09 00:00:00,0.73,2.53,0.17,46.21,19.92,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-01-10 00:00:00,1.85,5.89,0.27,45.19,24.27,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-01-11 00:00:00,1.87,6.14,0.2,68.14,16.82,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-01-12 00:00:00,1.31,4.1,0.28,51.67,21.06,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-01-13 00:00:00,1.15,3.64,0.05,54.43,15.25,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-01-14 00:00:00,1.13,4.04,0.25,47.29,24.15,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-01-15 00:00:00,1.56,4.71,0.07,68.63,17.5,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-01-16 00:00:00,0.23,1.62,0.06,65.0,21.13,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-01-17 00:00:00,1.3,4.7,0.07,48.17,16.75,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-01-18 00:00:00,1.29,4.1,0.28,45.15,19.32,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-01-19 00:00:00,1.64,5.17,0.25,57.94,15.74,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-01-20 00:00:00,1.91,5.99,0.3,64.7,24.58,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-01-21 00:00:00,1.59,5.57,0.29,47.72,23.88,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-01-22 00:00:00,0.15,1.21,0.01,56.65,20.03,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-01-23 00:00:00,0.03,1.06,0.11,61.5,19.32,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-01-24 00:00:00,0.65,2.24,0.07,56.14,20.36,-1.2687,36.8105,https://openweathermap.org/
